"Lunch Participation of Eligible Students"
3/17/2022

Year,Division,Level,Percent
"2020 - 2021","Montgomery County Public Schools",DIV,36.8
"2020 - 2021","Nelson County Public Schools",DIV,51.6
"2020 - 2021","New Kent County Public Schools",DIV,24.3
"2020 - 2021","Newport News City Public Schools",DIV,76.4
"2020 - 2021","Norfolk City Public Schools",DIV,73.3
"2020 - 2021","Northampton County Public Schools",DIV,78.5
"2020 - 2021","Northumberland County Public Schools",DIV,77.9
"2020 - 2021","Norton City Public Schools",DIV,92.8
"2020 - 2021","Nottoway County Public Schools",DIV,90.9
"2020 - 2021","Orange County Public Schools",DIV,46.9
"2020 - 2021","Page County Public Schools",DIV,55.8
"2020 - 2021","Patrick County Public Schools",DIV,69.1
"2020 - 2021","Petersburg City Public Schools",DIV,100
"2020 - 2021","Pittsylvania County Public Schools",DIV,61.6
"2020 - 2021","Poquoson City Public Schools",DIV,16.1
"2020 - 2021","Portsmouth City Public Schools",DIV,77.1
"2020 - 2021","Powhatan County Public Schools",DIV,20.1
"2020 - 2021","Prince Edward County Public Schools",DIV,85.9
"2020 - 2021","Prince George County Public Schools",DIV,45.8
"2020 - 2021","Prince William County Public Schools",DIV,42.8
"2020 - 2021","Pulaski County Public Schools",DIV,65.5
"2020 - 2021","Radford City Public Schools",DIV,44.8
"2020 - 2021","Rappahannock County Public Schools",DIV,37.4
"2020 - 2021","Richmond City Public Schools",DIV,100
"2020 - 2021","Richmond County Public Schools",DIV,74.2
"2020 - 2021","Roanoke City Public Schools",DIV,96.4
"2020 - 2021","Roanoke County Public Schools",DIV,29.9
"2020 - 2021","Rockbridge County Public Schools",DIV,46.7
"2020 - 2021","Rockingham County Public Schools",DIV,40.3
"2020 - 2021","Russell County Public Schools",DIV,64
"2020 - 2021","Salem City Public Schools",DIV,38.1
"2020 - 2021","Scott County Public Schools",DIV,65.4
"2020 - 2021","Shenandoah County Public Schools",DIV,47.3
"2020 - 2021","Smyth County Public Schools",DIV,76.9
"2020 - 2021","Southampton County Public Schools",DIV,44.6
"2020 - 2021","Spotsylvania County Public Schools",DIV,35.9
"2020 - 2021","Stafford County Public Schools",DIV,33.1
"2020 - 2021","Staunton City Public Schools",DIV,57.9
"2020 - 2021","Suffolk City Public Schools",DIV,49.6
"2020 - 2021","Surry County Public Schools",DIV,60.7
"2020 - 2021","Sussex County Public Schools",DIV,88
"2020 - 2021","Tazewell County Public Schools",DIV,64.8
"2020 - 2021","Virginia Beach City Public Schools",DIV,39.5
"2020 - 2021","Warren County Public Schools",DIV,46.6
"2020 - 2021","Washington County Public Schools",DIV,54.9
"2020 - 2021","Waynesboro City Public Schools",DIV,62.4
"2020 - 2021","West Point Public Schools",DIV,33.2
"2020 - 2021","Westmoreland County Public Schools",DIV,73.1
"2020 - 2021","Williamsburg-James City County Public Schools",DIV,32.9
"2020 - 2021","Winchester City Public Schools",DIV,67.6
"2020 - 2021","Wise County Public Schools",DIV,77.9
"2020 - 2021","Wythe County Public Schools",DIV,50.6
"2020 - 2021","York County Public Schools",DIV,23.1
