"Career & Technical Education"
3/17/2022

Year,Level,Division,Description,"Year Count"
"2020 - 2021",DIV,"Fluvanna County Public Schools","Total Credentials Earned",349
"2020 - 2021",DIV,"Franklin City Public Schools","CTE Completers",41
"2020 - 2021",DIV,"Franklin City Public Schools","Industry Certification",32
"2020 - 2021",DIV,"Franklin City Public Schools","Students Earning One or More Credentials",31
"2020 - 2021",DIV,"Franklin City Public Schools","Total Credentials Earned",32
"2020 - 2021",DIV,"Franklin County Public Schools","CTE Completers",258
"2020 - 2021",DIV,"Franklin County Public Schools","Industry Certification",411
"2020 - 2021",DIV,"Franklin County Public Schools","NOCTI Assessments",56
"2020 - 2021",DIV,"Franklin County Public Schools","Students Earning One or More Credentials",390
"2020 - 2021",DIV,"Franklin County Public Schools","Total Credentials Earned",467
"2020 - 2021",DIV,"Frederick County Public Schools","CTE Completers",572
"2020 - 2021",DIV,"Frederick County Public Schools","Industry Certification",889
"2020 - 2021",DIV,"Frederick County Public Schools","NOCTI Assessments",9
"2020 - 2021",DIV,"Frederick County Public Schools","State Licensures",59
"2020 - 2021",DIV,"Frederick County Public Schools","Students Earning One or More Credentials",765
"2020 - 2021",DIV,"Frederick County Public Schools","Total Credentials Earned",957
"2020 - 2021",DIV,"Fredericksburg City Public Schools","CTE Completers",80
"2020 - 2021",DIV,"Fredericksburg City Public Schools","Industry Certification",125
"2020 - 2021",DIV,"Fredericksburg City Public Schools","State Licensures",6
"2020 - 2021",DIV,"Fredericksburg City Public Schools","Students Earning One or More Credentials",125
"2020 - 2021",DIV,"Fredericksburg City Public Schools","Total Credentials Earned",131
"2020 - 2021",DIV,"Galax City Public Schools","CTE Completers",33
"2020 - 2021",DIV,"Giles County Public Schools","CTE Completers",165
"2020 - 2021",DIV,"Giles County Public Schools","Industry Certification",230
"2020 - 2021",DIV,"Giles County Public Schools","NOCTI Assessments",10
"2020 - 2021",DIV,"Giles County Public Schools","State Licensures",31
"2020 - 2021",DIV,"Giles County Public Schools","Students Earning One or More Credentials",244
"2020 - 2021",DIV,"Giles County Public Schools","Total Credentials Earned",271
"2020 - 2021",DIV,"Gloucester County Public Schools","CTE Completers",138
"2020 - 2021",DIV,"Gloucester County Public Schools","Industry Certification",31
"2020 - 2021",DIV,"Gloucester County Public Schools","NOCTI Assessments",19
"2020 - 2021",DIV,"Gloucester County Public Schools","State Licensures",6
"2020 - 2021",DIV,"Gloucester County Public Schools","Students Earning One or More Credentials",47
"2020 - 2021",DIV,"Gloucester County Public Schools","Total Credentials Earned",56
"2020 - 2021",DIV,"Goochland County Public Schools","CTE Completers",94
"2020 - 2021",DIV,"Grayson County Public Schools","CTE Completers",127
"2020 - 2021",DIV,"Greene County Public Schools","CTE Completers",160
"2020 - 2021",DIV,"Greene County Public Schools","Industry Certification",106
"2020 - 2021",DIV,"Greene County Public Schools","State Licensures",23
"2020 - 2021",DIV,"Greene County Public Schools","Students Earning One or More Credentials",125
"2020 - 2021",DIV,"Greene County Public Schools","Total Credentials Earned",129
"2020 - 2021",DIV,"Greensville County Public Schools","CTE Completers",122
"2020 - 2021",DIV,"Halifax County Public Schools","CTE Completers",113
"2020 - 2021",DIV,"Halifax County Public Schools","Industry Certification",439
"2020 - 2021",DIV,"Halifax County Public Schools","State Licensures",1
"2020 - 2021",DIV,"Halifax County Public Schools","Students Earning One or More Credentials",335
"2020 - 2021",DIV,"Halifax County Public Schools","Total Credentials Earned",440
"2020 - 2021",DIV,"Hampton City Public Schools","CTE Completers",790
"2020 - 2021",DIV,"Hampton City Public Schools","Industry Certification",987
"2020 - 2021",DIV,"Hampton City Public Schools","NOCTI Assessments",39
"2020 - 2021",DIV,"Hampton City Public Schools","State Licensures",15
"2020 - 2021",DIV,"Hampton City Public Schools","Students Earning One or More Credentials",977
"2020 - 2021",DIV,"Hampton City Public Schools","Total Credentials Earned",1041
"2020 - 2021",DIV,"Hanover County Public Schools","Armed Services Vocational Aptitude Battery Examination",43
"2020 - 2021",DIV,"Hanover County Public Schools","CTE Completers",727
"2020 - 2021",DIV,"Hanover County Public Schools","Industry Certification",1389
"2020 - 2021",DIV,"Hanover County Public Schools","NOCTI Assessments",83
"2020 - 2021",DIV,"Hanover County Public Schools","State Licensures",133
"2020 - 2021",DIV,"Hanover County Public Schools","Students Earning One or More Credentials",1277
"2020 - 2021",DIV,"Hanover County Public Schools","Total Credentials Earned",1605
"2020 - 2021",DIV,"Harrisonburg City Public Schools","CTE Completers",217
"2020 - 2021",DIV,"Harrisonburg City Public Schools","Industry Certification",380
"2020 - 2021",DIV,"Harrisonburg City Public Schools","NOCTI Assessments",7
"2020 - 2021",DIV,"Harrisonburg City Public Schools","Students Earning One or More Credentials",368
"2020 - 2021",DIV,"Harrisonburg City Public Schools","Total Credentials Earned",387
"2020 - 2021",DIV,"Henrico County Public Schools","CTE Completers",1504
"2020 - 2021",DIV,"Henrico County Public Schools","Industry Certification",2369
"2020 - 2021",DIV,"Henrico County Public Schools","State Licensures",39
"2020 - 2021",DIV,"Henrico County Public Schools","Students Earning One or More Credentials",2189
"2020 - 2021",DIV,"Henrico County Public Schools","Total Credentials Earned",2408
"2020 - 2021",DIV,"Henry County Public Schools","Armed Services Vocational Aptitude Battery Examination",18
"2020 - 2021",DIV,"Henry County Public Schools","CTE Completers",241
"2020 - 2021",DIV,"Henry County Public Schools","Industry Certification",236
"2020 - 2021",DIV,"Henry County Public Schools","NOCTI Assessments",3
"2020 - 2021",DIV,"Henry County Public Schools","State Licensures",10
"2020 - 2021",DIV,"Henry County Public Schools","Students Earning One or More Credentials",243
"2020 - 2021",DIV,"Henry County Public Schools","Total Credentials Earned",249
"2020 - 2021",DIV,"Highland County Public Schools","CTE Completers",12
"2020 - 2021",DIV,"Hopewell City Public Schools","Armed Services Vocational Aptitude Battery Examination",23
"2020 - 2021",DIV,"Hopewell City Public Schools","CTE Completers",172
"2020 - 2021",DIV,"Hopewell City Public Schools","Industry Certification",139
"2020 - 2021",DIV,"Hopewell City Public Schools","NOCTI Assessments",2
"2020 - 2021",DIV,"Hopewell City Public Schools","State Licensures",4
"2020 - 2021",DIV,"Hopewell City Public Schools","Students Earning One or More Credentials",138
"2020 - 2021",DIV,"Hopewell City Public Schools","Total Credentials Earned",145
"2020 - 2021",DIV,"Isle of Wight County Public Schools","Armed Services Vocational Aptitude Battery Examination",34
"2020 - 2021",DIV,"Isle of Wight County Public Schools","CTE Completers",206
"2020 - 2021",DIV,"Isle of Wight County Public Schools","Industry Certification",671
"2020 - 2021",DIV,"Isle of Wight County Public Schools","Students Earning One or More Credentials",570
"2020 - 2021",DIV,"Isle of Wight County Public Schools","Total Credentials Earned",671
"2020 - 2021",DIV,"King George County Public Schools","CTE Completers",151
"2020 - 2021",DIV,"King George County Public Schools","Industry Certification",361
"2020 - 2021",DIV,"King George County Public Schools","State Licensures",23
"2020 - 2021",DIV,"King George County Public Schools","Students Earning One or More Credentials",356
"2020 - 2021",DIV,"King George County Public Schools","Total Credentials Earned",384
"2020 - 2021",DIV,"King William County Public Schools","CTE Completers",59
"2020 - 2021",DIV,"King and Queen County Public Schools","CTE Completers",31
"2020 - 2021",DIV,"King and Queen County Public Schools","NOCTI Assessments",1
"2020 - 2021",DIV,"King and Queen County Public Schools","Students Earning One or More Credentials",1
"2020 - 2021",DIV,"King and Queen County Public Schools","Total Credentials Earned",1
"2020 - 2021",DIV,"Lancaster County Public Schools","CTE Completers",27
"2020 - 2021",DIV,"Lancaster County Public Schools","Industry Certification",7
"2020 - 2021",DIV,"Lancaster County Public Schools","State Licensures",4
"2020 - 2021",DIV,"Lancaster County Public Schools","Students Earning One or More Credentials",9
"2020 - 2021",DIV,"Lancaster County Public Schools","Total Credentials Earned",11
"2020 - 2021",DIV,"Lee County Public Schools","CTE Completers",170
"2020 - 2021",DIV,"Loudoun County Public Schools","CTE Completers",12
"2020 - 2021",DIV,"Loudoun County Public Schools","Industry Certification",1384
"2020 - 2021",DIV,"Loudoun County Public Schools","NOCTI Assessments",100
"2020 - 2021",DIV,"Loudoun County Public Schools","State Licensures",8
"2020 - 2021",DIV,"Loudoun County Public Schools","Students Earning One or More Credentials",1087
"2020 - 2021",DIV,"Loudoun County Public Schools","Total Credentials Earned",1492
"2020 - 2021",DIV,"Louisa County Public Schools","CTE Completers",158
"2020 - 2021",DIV,"Louisa County Public Schools","Industry Certification",316
"2020 - 2021",DIV,"Louisa County Public Schools","NOCTI Assessments",4
"2020 - 2021",DIV,"Louisa County Public Schools","Students Earning One or More Credentials",295
"2020 - 2021",DIV,"Louisa County Public Schools","Total Credentials Earned",320
"2020 - 2021",DIV,"Lunenburg County Public Schools","CTE Completers",40
"2020 - 2021",DIV,"Lunenburg County Public Schools","Industry Certification",119
"2020 - 2021",DIV,"Lunenburg County Public Schools","State Licensures",2
"2020 - 2021",DIV,"Lunenburg County Public Schools","Students Earning One or More Credentials",105
"2020 - 2021",DIV,"Lunenburg County Public Schools","Total Credentials Earned",121
"2020 - 2021",DIV,"Lynchburg City Public Schools","CTE Completers",126
"2020 - 2021",DIV,"Lynchburg City Public Schools","Industry Certification",346
"2020 - 2021",DIV,"Lynchburg City Public Schools","NOCTI Assessments",23
"2020 - 2021",DIV,"Lynchburg City Public Schools","State Licensures",14
"2020 - 2021",DIV,"Lynchburg City Public Schools","Students Earning One or More Credentials",374
"2020 - 2021",DIV,"Lynchburg City Public Schools","Total Credentials Earned",383
"2020 - 2021",DIV,"Madison County Public Schools","CTE Completers",70
"2020 - 2021",DIV,"Madison County Public Schools","Industry Certification",40
"2020 - 2021",DIV,"Madison County Public Schools","State Licensures",4
"2020 - 2021",DIV,"Madison County Public Schools","Students Earning One or More Credentials",44
"2020 - 2021",DIV,"Madison County Public Schools","Total Credentials Earned",44
"2020 - 2021",DIV,"Manassas City Public Schools","CTE Completers",305
"2020 - 2021",DIV,"Manassas Park City Public Schools","CTE Completers",117
"2020 - 2021",DIV,"Manassas Park City Public Schools","Industry Certification",197
"2020 - 2021",DIV,"Manassas Park City Public Schools","Students Earning One or More Credentials",194
"2020 - 2021",DIV,"Manassas Park City Public Schools","Total Credentials Earned",197
"2020 - 2021",DIV,"Martinsville City Public Schools","CTE Completers",114
"2020 - 2021",DIV,"Martinsville City Public Schools","Industry Certification",3
"2020 - 2021",DIV,"Martinsville City Public Schools","Students Earning One or More Credentials",2
"2020 - 2021",DIV,"Martinsville City Public Schools","Total Credentials Earned",3
"2020 - 2021",DIV,"Mathews County Public Schools","CTE Completers",30
"2020 - 2021",DIV,"Mecklenburg County Public Schools","CTE Completers",185
"2020 - 2021",DIV,"Mecklenburg County Public Schools","Industry Certification",260
"2020 - 2021",DIV,"Mecklenburg County Public Schools","State Licensures",5
"2020 - 2021",DIV,"Mecklenburg County Public Schools","Students Earning One or More Credentials",223
"2020 - 2021",DIV,"Mecklenburg County Public Schools","Total Credentials Earned",265
"2020 - 2021",DIV,"Middlesex County Public Schools","CTE Completers",36
"2020 - 2021",DIV,"Montgomery County Public Schools","CTE Completers",349
"2020 - 2021",DIV,"Nelson County Public Schools","CTE Completers",101
"2020 - 2021",DIV,"Nelson County Public Schools","Industry Certification",96
"2020 - 2021",DIV,"Nelson County Public Schools","State Licensures",9
"2020 - 2021",DIV,"Nelson County Public Schools","Students Earning One or More Credentials",94
"2020 - 2021",DIV,"Nelson County Public Schools","Total Credentials Earned",105
"2020 - 2021",DIV,"New Kent County Public Schools","CTE Completers",41
"2020 - 2021",DIV,"Newport News City Public Schools","Armed Services Vocational Aptitude Battery Examination",20
"2020 - 2021",DIV,"Newport News City Public Schools","CTE Completers",644
"2020 - 2021",DIV,"Newport News City Public Schools","Industry Certification",1968
"2020 - 2021",DIV,"Newport News City Public Schools","NOCTI Assessments",84
"2020 - 2021",DIV,"Newport News City Public Schools","State Licensures",20
"2020 - 2021",DIV,"Newport News City Public Schools","Students Earning One or More Credentials",1808
"2020 - 2021",DIV,"Newport News City Public Schools","Total Credentials Earned",2072
"2020 - 2021",DIV,"Norfolk City Public Schools","CTE Completers",902
"2020 - 2021",DIV,"Norfolk City Public Schools","Industry Certification",1096
"2020 - 2021",DIV,"Norfolk City Public Schools","NOCTI Assessments",38
"2020 - 2021",DIV,"Norfolk City Public Schools","Students Earning One or More Credentials",1047
"2020 - 2021",DIV,"Norfolk City Public Schools","Total Credentials Earned",1134
"2020 - 2021",DIV,"Northampton County Public Schools","CTE Completers",74
"2020 - 2021",DIV,"Northumberland County Public Schools","CTE Completers",80
"2020 - 2021",DIV,"Northumberland County Public Schools","Industry Certification",21
"2020 - 2021",DIV,"Northumberland County Public Schools","State Licensures",1
"2020 - 2021",DIV,"Northumberland County Public Schools","Students Earning One or More Credentials",13
"2020 - 2021",DIV,"Northumberland County Public Schools","Total Credentials Earned",22
"2020 - 2021",DIV,"Norton City Public Schools","CTE Completers",57
"2020 - 2021",DIV,"Norton City Public Schools","Industry Certification",43
"2020 - 2021",DIV,"Norton City Public Schools","Students Earning One or More Credentials",42
"2020 - 2021",DIV,"Norton City Public Schools","Total Credentials Earned",43
"2020 - 2021",DIV,"Nottoway County Public Schools","Armed Services Vocational Aptitude Battery Examination",2
"2020 - 2021",DIV,"Nottoway County Public Schools","CTE Completers",106
"2020 - 2021",DIV,"Nottoway County Public Schools","Industry Certification",118
"2020 - 2021",DIV,"Nottoway County Public Schools","State Licensures",1
"2020 - 2021",DIV,"Nottoway County Public Schools","Students Earning One or More Credentials",75
"2020 - 2021",DIV,"Nottoway County Public Schools","Total Credentials Earned",119
"2020 - 2021",DIV,"Orange County Public Schools","CTE Completers",145
"2020 - 2021",DIV,"Orange County Public Schools","Industry Certification",82
"2020 - 2021",DIV,"Orange County Public Schools","State Licensures",7
"2020 - 2021",DIV,"Orange County Public Schools","Students Earning One or More Credentials",84
"2020 - 2021",DIV,"Orange County Public Schools","Total Credentials Earned",89
"2020 - 2021",DIV,"Page County Public Schools","CTE Completers",196
"2020 - 2021",DIV,"Page County Public Schools","Industry Certification",123
"2020 - 2021",DIV,"Page County Public Schools","State Licensures",9
"2020 - 2021",DIV,"Page County Public Schools","Students Earning One or More Credentials",120
"2020 - 2021",DIV,"Page County Public Schools","Total Credentials Earned",132
"2020 - 2021",DIV,"Patrick County Public Schools","CTE Completers",146
"2020 - 2021",DIV,"Patrick County Public Schools","Industry Certification",105
"2020 - 2021",DIV,"Patrick County Public Schools","State Licensures",11
"2020 - 2021",DIV,"Patrick County Public Schools","Students Earning One or More Credentials",98
"2020 - 2021",DIV,"Patrick County Public Schools","Total Credentials Earned",116
"2020 - 2021",DIV,"Petersburg City Public Schools","CTE Completers",92
"2020 - 2021",DIV,"Petersburg City Public Schools","Industry Certification",68
"2020 - 2021",DIV,"Petersburg City Public Schools","Students Earning One or More Credentials",52
"2020 - 2021",DIV,"Petersburg City Public Schools","Total Credentials Earned",68
"2020 - 2021",DIV,"Pittsylvania County Public Schools","CTE Completers",414
"2020 - 2021",DIV,"Pittsylvania County Public Schools","Industry Certification",468
"2020 - 2021",DIV,"Pittsylvania County Public Schools","NOCTI Assessments",32
"2020 - 2021",DIV,"Pittsylvania County Public Schools","State Licensures",44
"2020 - 2021",DIV,"Pittsylvania County Public Schools","Students Earning One or More Credentials",477
"2020 - 2021",DIV,"Pittsylvania County Public Schools","Total Credentials Earned",544
"2020 - 2021",DIV,"Poquoson City Public Schools","CTE Completers",90
"2020 - 2021",DIV,"Poquoson City Public Schools","Industry Certification",139
"2020 - 2021",DIV,"Poquoson City Public Schools","NOCTI Assessments",9
"2020 - 2021",DIV,"Poquoson City Public Schools","State Licensures",1
"2020 - 2021",DIV,"Poquoson City Public Schools","Students Earning One or More Credentials",141
"2020 - 2021",DIV,"Poquoson City Public Schools","Total Credentials Earned",149
"2020 - 2021",DIV,"Portsmouth City Public Schools","CTE Completers",482
"2020 - 2021",DIV,"Portsmouth City Public Schools","Industry Certification",298
"2020 - 2021",DIV,"Portsmouth City Public Schools","NOCTI Assessments",6
"2020 - 2021",DIV,"Portsmouth City Public Schools","Students Earning One or More Credentials",303
"2020 - 2021",DIV,"Portsmouth City Public Schools","Total Credentials Earned",304
"2020 - 2021",DIV,"Powhatan County Public Schools","CTE Completers",206
"2020 - 2021",DIV,"Prince Edward County Public Schools","CTE Completers",75
"2020 - 2021",DIV,"Prince Edward County Public Schools","Industry Certification",105
"2020 - 2021",DIV,"Prince Edward County Public Schools","Students Earning One or More Credentials",95
"2020 - 2021",DIV,"Prince Edward County Public Schools","Total Credentials Earned",105
"2020 - 2021",DIV,"Prince George County Public Schools","CTE Completers",205
"2020 - 2021",DIV,"Prince George County Public Schools","Industry Certification",228
"2020 - 2021",DIV,"Prince George County Public Schools","NOCTI Assessments",50
"2020 - 2021",DIV,"Prince George County Public Schools","State Licensures",6
"2020 - 2021",DIV,"Prince George County Public Schools","Students Earning One or More Credentials",237
"2020 - 2021",DIV,"Prince George County Public Schools","Total Credentials Earned",284
"2020 - 2021",DIV,"Prince William County Public Schools","CTE Completers",3175
"2020 - 2021",DIV,"Prince William County Public Schools","Industry Certification",708
"2020 - 2021",DIV,"Prince William County Public Schools","State Licensures",36
"2020 - 2021",DIV,"Prince William County Public Schools","Students Earning One or More Credentials",601
"2020 - 2021",DIV,"Prince William County Public Schools","Total Credentials Earned",744
"2020 - 2021",DIV,"Pulaski County Public Schools","CTE Completers",189
"2020 - 2021",DIV,"Radford City Public Schools","CTE Completers",27
"2020 - 2021",DIV,"Rappahannock County Public Schools","CTE Completers",46
"2020 - 2021",DIV,"Richmond City Public Schools","CTE Completers",698
"2020 - 2021",DIV,"Richmond City Public Schools","Industry Certification",507
"2020 - 2021",DIV,"Richmond City Public Schools","NOCTI Assessments",1
"2020 - 2021",DIV,"Richmond City Public Schools","Students Earning One or More Credentials",466
"2020 - 2021",DIV,"Richmond City Public Schools","Total Credentials Earned",508
"2020 - 2021",DIV,"Richmond County Public Schools","CTE Completers",79
"2020 - 2021",DIV,"Richmond County Public Schools","Industry Certification",130
"2020 - 2021",DIV,"Richmond County Public Schools","State Licensures",4
"2020 - 2021",DIV,"Richmond County Public Schools","Students Earning One or More Credentials",92
"2020 - 2021",DIV,"Richmond County Public Schools","Total Credentials Earned",134
"2020 - 2021",DIV,"Roanoke City Public Schools","Armed Services Vocational Aptitude Battery Examination",3
"2020 - 2021",DIV,"Roanoke City Public Schools","CTE Completers",258
"2020 - 2021",DIV,"Roanoke City Public Schools","Industry Certification",681
"2020 - 2021",DIV,"Roanoke City Public Schools","NOCTI Assessments",85
"2020 - 2021",DIV,"Roanoke City Public Schools","Students Earning One or More Credentials",642
"2020 - 2021",DIV,"Roanoke City Public Schools","Total Credentials Earned",766
"2020 - 2021",DIV,"Roanoke County Public Schools","CTE Completers",646
"2020 - 2021",DIV,"Roanoke County Public Schools","Industry Certification",886
"2020 - 2021",DIV,"Roanoke County Public Schools","State Licensures",14
"2020 - 2021",DIV,"Roanoke County Public Schools","Students Earning One or More Credentials",879
"2020 - 2021",DIV,"Roanoke County Public Schools","Total Credentials Earned",900
"2020 - 2021",DIV,"Rockbridge County Public Schools","CTE Completers",137
"2020 - 2021",DIV,"Rockingham County Public Schools","CTE Completers",432
"2020 - 2021",DIV,"Rockingham County Public Schools","Industry Certification",531
"2020 - 2021",DIV,"Rockingham County Public Schools","State Licensures",5
"2020 - 2021",DIV,"Rockingham County Public Schools","Students Earning One or More Credentials",527
"2020 - 2021",DIV,"Rockingham County Public Schools","Total Credentials Earned",536
"2020 - 2021",DIV,"Russell County Public Schools","CTE Completers",217
"2020 - 2021",DIV,"Russell County Public Schools","Industry Certification",117
"2020 - 2021",DIV,"Russell County Public Schools","NOCTI Assessments",24
"2020 - 2021",DIV,"Russell County Public Schools","State Licensures",23
"2020 - 2021",DIV,"Russell County Public Schools","Students Earning One or More Credentials",134
"2020 - 2021",DIV,"Russell County Public Schools","Total Credentials Earned",164
"2020 - 2021",DIV,"Salem City Public Schools","CTE Completers",70
"2020 - 2021",DIV,"Salem City Public Schools","Industry Certification",344
"2020 - 2021",DIV,"Salem City Public Schools","Students Earning One or More Credentials",296
"2020 - 2021",DIV,"Salem City Public Schools","Total Credentials Earned",344
"2020 - 2021",DIV,"Scott County Public Schools","CTE Completers",198
"2020 - 2021",DIV,"Scott County Public Schools","Industry Certification",170
"2020 - 2021",DIV,"Scott County Public Schools","State Licensures",14
"2020 - 2021",DIV,"Scott County Public Schools","Students Earning One or More Credentials",180
"2020 - 2021",DIV,"Scott County Public Schools","Total Credentials Earned",184
"2020 - 2021",DIV,"Shenandoah County Public Schools","CTE Completers",293
"2020 - 2021",DIV,"Shenandoah County Public Schools","Industry Certification",485
"2020 - 2021",DIV,"Shenandoah County Public Schools","NOCTI Assessments",12
"2020 - 2021",DIV,"Shenandoah County Public Schools","State Licensures",8
"2020 - 2021",DIV,"Shenandoah County Public Schools","Students Earning One or More Credentials",444
"2020 - 2021",DIV,"Shenandoah County Public Schools","Total Credentials Earned",505
"2020 - 2021",DIV,"Smyth County Public Schools","CTE Completers",199
"2020 - 2021",DIV,"Southampton County Public Schools","CTE Completers",147
"2020 - 2021",DIV,"Spotsylvania County Public Schools","Armed Services Vocational Aptitude Battery Examination",16
"2020 - 2021",DIV,"Spotsylvania County Public Schools","CTE Completers",704
"2020 - 2021",DIV,"Spotsylvania County Public Schools","Industry Certification",611
"2020 - 2021",DIV,"Spotsylvania County Public Schools","State Licensures",10
"2020 - 2021",DIV,"Spotsylvania County Public Schools","Students Earning One or More Credentials",510
"2020 - 2021",DIV,"Spotsylvania County Public Schools","Total Credentials Earned",621
"2020 - 2021",DIV,"Stafford County Public Schools","Armed Services Vocational Aptitude Battery Examination",77
"2020 - 2021",DIV,"Stafford County Public Schools","CTE Completers",1269
"2020 - 2021",DIV,"Stafford County Public Schools","Industry Certification",2195
"2020 - 2021",DIV,"Stafford County Public Schools","NOCTI Assessments",10
"2020 - 2021",DIV,"Stafford County Public Schools","State Licensures",5
"2020 - 2021",DIV,"Stafford County Public Schools","Students Earning One or More Credentials",2062
"2020 - 2021",DIV,"Stafford County Public Schools","Total Credentials Earned",2210
"2020 - 2021",DIV,"Staunton City Public Schools","CTE Completers",70
"2020 - 2021",DIV,"Staunton City Public Schools","Industry Certification",72
"2020 - 2021",DIV,"Staunton City Public Schools","NOCTI Assessments",11
"2020 - 2021",DIV,"Staunton City Public Schools","Students Earning One or More Credentials",78
"2020 - 2021",DIV,"Staunton City Public Schools","Total Credentials Earned",83
"2020 - 2021",DIV,"Suffolk City Public Schools","Armed Services Vocational Aptitude Battery Examination",2
"2020 - 2021",DIV,"Suffolk City Public Schools","CTE Completers",560
"2020 - 2021",DIV,"Suffolk City Public Schools","Industry Certification",51
"2020 - 2021",DIV,"Suffolk City Public Schools","NOCTI Assessments",43
"2020 - 2021",DIV,"Suffolk City Public Schools","Students Earning One or More Credentials",94
"2020 - 2021",DIV,"Suffolk City Public Schools","Total Credentials Earned",94
"2020 - 2021",DIV,"Surry County Public Schools","CTE Completers",39
"2020 - 2021",DIV,"Surry County Public Schools","Industry Certification",27
"2020 - 2021",DIV,"Surry County Public Schools","Students Earning One or More Credentials",27
"2020 - 2021",DIV,"Surry County Public Schools","Total Credentials Earned",27
"2020 - 2021",DIV,"Sussex County Public Schools","CTE Completers",44
"2020 - 2021",DIV,"Tazewell County Public Schools","Armed Services Vocational Aptitude Battery Examination",11
"2020 - 2021",DIV,"Tazewell County Public Schools","CTE Completers",259
"2020 - 2021",DIV,"Tazewell County Public Schools","Industry Certification",349
"2020 - 2021",DIV,"Tazewell County Public Schools","NOCTI Assessments",48
"2020 - 2021",DIV,"Tazewell County Public Schools","State Licensures",10
"2020 - 2021",DIV,"Tazewell County Public Schools","Students Earning One or More Credentials",291
"2020 - 2021",DIV,"Tazewell County Public Schools","Total Credentials Earned",407
"2020 - 2021",DIV,"Virginia Beach City Public Schools","CTE Completers",2000
"2020 - 2021",DIV,"Virginia Beach City Public Schools","Industry Certification",5468
"2020 - 2021",DIV,"Virginia Beach City Public Schools","NOCTI Assessments",171
"2020 - 2021",DIV,"Virginia Beach City Public Schools","Students Earning One or More Credentials",4876
"2020 - 2021",DIV,"Virginia Beach City Public Schools","Total Credentials Earned",5639
"2020 - 2021",DIV,"Warren County Public Schools","CTE Completers",205
"2020 - 2021",DIV,"Warren County Public Schools","Industry Certification",272
"2020 - 2021",DIV,"Warren County Public Schools","State Licensures",16
"2020 - 2021",DIV,"Warren County Public Schools","Students Earning One or More Credentials",273
"2020 - 2021",DIV,"Warren County Public Schools","Total Credentials Earned",288
"2020 - 2021",DIV,"Washington County Public Schools","CTE Completers",398
"2020 - 2021",DIV,"Waynesboro City Public Schools","CTE Completers",81
"2020 - 2021",DIV,"Waynesboro City Public Schools","Industry Certification",92
"2020 - 2021",DIV,"Waynesboro City Public Schools","NOCTI Assessments",7
"2020 - 2021",DIV,"Waynesboro City Public Schools","State Licensures",6
"2020 - 2021",DIV,"Waynesboro City Public Schools","Students Earning One or More Credentials",97
"2020 - 2021",DIV,"Waynesboro City Public Schools","Total Credentials Earned",105
"2020 - 2021",DIV,"West Point Public Schools","CTE Completers",20
"2020 - 2021",DIV,"West Point Public Schools","Industry Certification",30
"2020 - 2021",DIV,"West Point Public Schools","State Licensures",2
"2020 - 2021",DIV,"West Point Public Schools","Students Earning One or More Credentials",32
"2020 - 2021",DIV,"West Point Public Schools","Total Credentials Earned",32
"2020 - 2021",DIV,"Westmoreland County Public Schools","CTE Completers",37
"2020 - 2021",DIV,"Westmoreland County Public Schools","Industry Certification",58
"2020 - 2021",DIV,"Westmoreland County Public Schools","Students Earning One or More Credentials",58
"2020 - 2021",DIV,"Westmoreland County Public Schools","Total Credentials Earned",58
"2020 - 2021",DIV,"Williamsburg-James City County Public Schools","CTE Completers",191
"2020 - 2021",DIV,"Winchester City Public Schools","CTE Completers",127
"2020 - 2021",DIV,"Winchester City Public Schools","Industry Certification",231
"2020 - 2021",DIV,"Winchester City Public Schools","NOCTI Assessments",14
"2020 - 2021",DIV,"Winchester City Public Schools","State Licensures",7
"2020 - 2021",DIV,"Winchester City Public Schools","Students Earning One or More Credentials",222
"2020 - 2021",DIV,"Winchester City Public Schools","Total Credentials Earned",252
"2020 - 2021",DIV,"Wise County Public Schools","CTE Completers",260
"2020 - 2021",DIV,"Wise County Public Schools","Industry Certification",433
"2020 - 2021",DIV,"Wise County Public Schools","State Licensures",22
"2020 - 2021",DIV,"Wise County Public Schools","Students Earning One or More Credentials",406
"2020 - 2021",DIV,"Wise County Public Schools","Total Credentials Earned",455
"2020 - 2021",DIV,"Wythe County Public Schools","CTE Completers",271
"2020 - 2021",DIV,"Wythe County Public Schools","Industry Certification",453
"2020 - 2021",DIV,"Wythe County Public Schools","NOCTI Assessments",82
"2020 - 2021",DIV,"Wythe County Public Schools","State Licensures",7
"2020 - 2021",DIV,"Wythe County Public Schools","Students Earning One or More Credentials",400
"2020 - 2021",DIV,"Wythe County Public Schools","Total Credentials Earned",542
"2020 - 2021",DIV,"York County Public Schools","CTE Completers",344
