,Division Number,Division,Pass Rate,Percent of Inexperienced Teachers,Percent of Out-of-Field Teachers,Total Per-Pupil Expenditures,Total Expenditures,Per-Pupil Federal Funds,Per-Pupil State Funds,Average 2016-2017 Salary,Student/Teacher Ratio,Division Locale,Operational Public Schools,Total Students,IEP Students,LEP+ELL Students
74,144.0,MANASSAS PARK CITY,67.12,7.6,1.4,10153.0,37718517.0,312.0,9841.0,57994.34,14.84,Suburb,4.0,3724.0,457.0,1231
75,116.0,MARTINSVILLE CITY,66.67,10.4,5.8,12405.0,24195705.0,1065.0,11340.0,45154.4,13.31,Town,5.0,1942.0,215.0,115
76,57.0,MATHEWS COUNTY,76.68,4.2,3.2,12267.0,12991448.0,490.0,11777.0,46446.159999999996,11.55,Rural,3.0,1064.0,171.0,18
77,58.0,MECKLENBURG COUNTY,78.15,3.4,7.7,11982.0,50097077.0,717.0,11266.0,43637.125,12.41,Rural,9.0,4215.0,499.0,45
78,59.0,MIDDLESEX COUNTY,70.65,0.9,9.3,12494.0,15045184.0,712.0,11782.0,45823.0,13.16,Rural,3.0,1222.0,224.0,12
79,60.0,MONTGOMERY COUNTY,80.73,5.0,0.9,10644.0,105885823.0,436.0,10209.0,47064.563157894736,13.35,City,21.0,9924.0,1048.0,325
80,62.0,NELSON COUNTY,75.44,3.7,0.0,13760.0,24304363.0,575.0,13185.0,51017.0,12.85,Rural,4.0,1807.0,283.0,40
81,63.0,NEW KENT COUNTY,80.3,3.7,0.0,9534.0,31263907.0,317.0,9217.0,48368.25,16.21,Rural,4.0,3306.0,429.0,24
82,117.0,NEWPORT NEWS CITY,64.35,3.5,4.0,10794.0,307412391.0,773.0,10022.0,51012.03738095237,16.03,City,45.0,28652.0,3684.0,1553
83,118.0,NORFOLK CITY,66.12,4.5,4.4,10540.0,314607423.0,723.0,9816.0,51026.25106382979,13.67,City,52.0,30087.0,4321.0,841
84,65.0,NORTHAMPTON COUNTY,65.55,14.6,1.3,11924.0,18753412.0,958.0,10965.0,41652.5,12.69,Rural,5.0,1607.0,254.0,146
85,66.0,NORTHUMBERLAND COUNTY,76.84,5.4,3.1,12637.0,16662335.0,802.0,11835.0,48463.666666666664,12.76,Rural,3.0,1315.0,206.0,24
86,119.0,NORTON CITY,82.9,6.8,11.9,8547.0,7118123.0,0.0,8547.0,41918.93,15.28,Town,2.0,842.0,130.0,6
87,67.0,NOTTOWAY COUNTY,70.91,2.9,5.2,10088.0,20397023.0,795.0,9292.0,48634.736666666664,13.62,Rural,5.0,2043.0,254.0,78
88,68.0,ORANGE COUNTY,77.79,3.0,3.9,10167.0,50972653.0,784.0,9383.0,48490.47,14.03,Town,11.0,5041.0,566.0,159
89,69.0,PAGE COUNTY,72.24,11.8,4.2,9964.0,33525541.0,569.0,9395.0,47296.50222222222,14.48,Rural,9.0,3331.0,456.0,16
90,70.0,PATRICK COUNTY,84.63,1.9,4.3,9968.0,25496466.0,580.0,9388.0,42556.31714285714,13.98,Rural,7.0,2600.0,412.0,49
91,120.0,PETERSBURG CITY,52.14,10.4,10.1,11913.0,49058770.0,1830.0,10083.0,50218.28571428572,14.14,Suburb,7.0,4194.0,475.0,172
92,71.0,PITTSYLVANIA COUNTY,81.91,5.6,1.7,9886.0,86644286.0,588.0,9298.0,43608.5,14.11,Rural,20.0,8845.0,1107.0,201
93,142.0,POQUOSON CITY,91.05,0.0,0.6,10226.0,21874350.0,479.0,9746.0,48263.25,13.49,Suburb,4.0,2119.0,242.0,4
94,121.0,PORTSMOUTH CITY,69.93,3.9,5.6,11111.0,153667661.0,833.0,10278.0,50966.66130434782,14.79,City,24.0,14006.0,1712.0,107
95,72.0,POWHATAN COUNTY,81.92,4.2,0.0,10767.0,46025633.0,313.0,10454.0,49446.958333333336,14.34,Rural,6.0,4317.0,576.0,25
96,73.0,PRINCE EDWARD COUNTY,60.55,8.3,8.3,10732.0,22042468.0,643.0,10090.0,43676.0,12.93,Town,4.0,2079.0,278.0,35
97,74.0,PRINCE GEORGE COUNTY,82.68,4.4,5.4,9970.0,63007713.0,876.0,9094.0,49653.75,15.14,Rural,7.0,6360.0,851.0,83
98,75.0,PRINCE WILLIAM COUNTY,78.87,3.9,4.0,10936.0,992924799.0,414.0,10522.0,63871.636483516486,16.24,Suburb,94.0,90843.0,11349.0,15001
99,77.0,PULASKI COUNTY,73.83,5.6,1.2,10785.0,44073016.0,706.0,10079.0,45309.125,13.92,Rural,9.0,4081.0,653.0,42
100,122.0,RADFORD CITY,82.94,3.6,1.8,10451.0,17123903.0,538.0,9913.0,49076.5,13.69,City,4.0,1646.0,211.0,13
101,78.0,RAPPAHANNOCK COUNTY,76.28,1.2,3.7,14921.0,11798714.0,545.0,14376.0,53516.5,11.63,Rural,2.0,802.0,114.0,29
102,123.0,RICHMOND CITY,56.31,0.2,3.1,13886.0,336328266.0,1500.0,12386.0,51684.187659574454,16.02,City,54.0,24763.0,3961.0,2041
103,79.0,RICHMOND COUNTY,77.0,7.1,0.0,10216.0,13165885.0,556.0,9661.0,48059.0,15.37,Rural,3.0,1314.0,163.0,35
104,124.0,ROANOKE CITY,69.28,3.7,1.1,12625.0,172184072.0,937.0,11687.0,49182.32333333333,15.31,City,26.0,13749.0,2213.0,1199
105,80.0,ROANOKE COUNTY,83.77,4.5,0.0,10275.0,143738386.0,344.0,9930.0,49164.631538461545,13.8,Suburb,28.0,14121.0,2285.0,349
106,81.0,ROCKBRIDGE COUNTY,79.04,2.4,3.6,11409.0,31861440.0,652.0,10757.0,45722.166666666664,12.82,Town,6.0,2842.0,392.0,31
107,82.0,ROCKINGHAM COUNTY,75.79,3.3,2.1,10914.0,129456666.0,484.0,10430.0,46878.48,14.64,Rural,23.0,11913.0,1174.0,863
108,83.0,RUSSELL COUNTY,83.09,7.5,2.4,10135.0,38106834.0,876.0,9259.0,40288.275833333326,14.31,Rural,13.0,3785.0,580.0,9
109,139.0,SALEM CITY,80.66,1.6,7.9,10388.0,40905457.0,351.0,10037.0,53873.52333333334,15.5,Suburb,6.0,3958.0,577.0,127
110,84.0,SCOTT COUNTY,85.49,4.4,7.2,9994.0,35122876.0,753.0,9242.0,43645.07692307692,14.45,Suburb,14.0,3533.0,614.0,6
111,85.0,SHENANDOAH COUNTY,67.12,4.7,3.3,11071.0,66062582.0,556.0,10515.0,48099.333333333336,13.75,Town,10.0,6030.0,868.0,384
112,86.0,SMYTH COUNTY,77.24,4.6,8.8,9932.0,42838670.0,710.0,9222.0,43960.82230769231,13.93,Rural,14.0,4332.0,655.0,27
113,87.0,SOUTHAMPTON COUNTY,80.19,4.1,18.9,10221.0,29061255.0,535.0,9686.0,46156.666666666664,16.0,Rural,7.0,2869.0,386.0,6
114,88.0,SPOTSYLVANIA COUNTY,74.89,7.2,6.2,10875.0,255536798.0,393.0,10482.0,52823.83896551724,16.47,Rural,34.0,23668.0,3125.0,1214
115,89.0,STAFFORD COUNTY,79.18,8.7,11.7,9946.0,291827369.0,375.0,9572.0,54621.5,17.14,Suburb,32.0,29270.0,3510.0,1738
116,126.0,STAUNTON CITY,73.06,5.4,3.9,10819.0,29234953.0,284.0,10536.0,45800.666666666664,13.15,City,6.0,2727.0,405.0,40
117,127.0,SUFFOLK CITY,76.85,2.1,1.9,10278.0,146428199.0,555.0,9724.0,51554.953888888886,14.36,Suburb,21.0,14265.0,1874.0,63
118,90.0,SURRY COUNTY,77.6,1.1,5.4,20055.0,15078069.0,921.0,19134.0,52535.0,8.78,Rural,3.0,758.0,143.0,3
119,91.0,SUSSEX COUNTY,77.38,4.6,4.6,16514.0,17495537.0,1348.0,15165.0,49325.666666666664,13.04,Rural,3.0,1074.0,165.0,10
120,92.0,TAZEWELL COUNTY,83.6,4.8,5.0,8953.0,49839989.0,556.0,8396.0,43034.23066666667,15.38,Town,14.0,5653.0,946.0,12
121,128.0,VIRGINIA BEACH CITY,84.91,4.7,0.9,11327.0,773545649.0,653.0,10674.0,55037.45134146341,15.89,City,87.0,68624.0,8109.0,1263
122,93.0,WARREN COUNTY,74.15,5.2,1.1,10529.0,55608212.0,504.0,10025.0,47371.25,14.43,Town,9.0,5298.0,697.0,135
123,94.0,WASHINGTON COUNTY,85.98,2.1,1.8,10323.0,72915453.0,562.0,9762.0,45530.066666666666,14.2,Rural,16.0,7090.0,1191.0,51
124,130.0,WAYNESBORO CITY,66.9,7.0,1.7,11143.0,33114961.0,677.0,10467.0,46420.0,14.59,City,7.0,3032.0,351.0,125
125,207.0,WEST POINT,92.05,1.4,14.3,12205.0,9951864.0,308.0,11897.0,53161.0,12.7,Town,3.0,813.0,89.0,4
126,95.0,WESTMORELAND COUNTY,70.25,2.1,6.3,13074.0,21226339.0,852.0,12222.0,47279.0,12.32,Rural,4.0,1651.0,257.0,79
127,131.0,WILLIAMSBURG-JAMES CITY COUNTY,80.88,1.0,0.3,11943.0,138236090.0,344.0,11599.0,51418.51199999999,15.8,Suburb,16.0,11666.0,1878.0,538
128,132.0,WINCHESTER CITY,67.43,3.1,5.3,12873.0,55850515.0,762.0,12110.0,50305.44833333333,12.82,City,7.0,4357.0,618.0,823
129,96.0,WISE COUNTY,85.59,5.7,0.0,9032.0,51142060.0,324.0,8708.0,45818.432499999995,14.73,Town,13.0,5755.0,909.0,13
130,97.0,WYTHE COUNTY,85.2,4.4,4.7,10247.0,41352273.0,457.0,9790.0,45628.916666666664,14.85,Rural,13.0,4076.0,585.0,4
131,98.0,YORK COUNTY,87.91,0.6,2.8,10111.0,130415681.0,997.0,9114.0,51287.95105263158,15.11,Suburb,19.0,12750.0,1499.0,375
132,,DEPARTMENT OF J,,0.0,11.1,,,,,48353.33,,,,,,
133,,VIRGINIA SCHOOL FOR THE DEAF AND,,16.1,28.6,,,,,,,,,,,
