,Division,Percent of Inexperienced Teachers,Percent of Out-of-Field Teachers,Total Per-Pupil Expenditures,Total Expenditures,Per-Pupil Federal Funds,Per-Pupil State Funds,Average 2016-2017 Salary
94,Poquoson City Public Schools,0.0,0.6,10226.0,21874350.0,479.0,9746.0,48263.25
95,Portsmouth City Public Schools,3.9,5.6,11111.0,153667661.0,833.0,10278.0,50966.66130434782
96,Powhatan County Public Schools,4.2,0.0,10767.0,46025633.0,313.0,10454.0,49446.958333333336
97,Prince Edward County Public Schools,8.3,8.3,10732.0,22042468.0,643.0,10090.0,43676.0
98,Prince George County Public Schools,4.4,5.4,9970.0,63007713.0,876.0,9094.0,49653.75
99,Prince William County Public Schools,3.9,4.0,10936.0,992924799.0,414.0,10522.0,63871.636483516486
100,Pulaski County Public Schools,5.6,1.2,10785.0,44073016.0,706.0,10079.0,45309.125
101,Radford City Public Schools,3.6,1.8,10451.0,17123903.0,538.0,9913.0,49076.5
102,Rappahannock County Public Schools,1.2,3.7,14921.0,11798714.0,545.0,14376.0,53516.5
103,Richmond City Public Schools,0.2,3.1,13886.0,336328266.0,1500.0,12386.0,51684.187659574454
104,Richmond County Public Schools,7.1,0.0,10216.0,13165885.0,556.0,9661.0,48059.0
105,Roanoke City Public Schools,3.7,1.1,12625.0,172184072.0,937.0,11687.0,49182.32333333333
106,Roanoke County Public Schools,4.5,0.0,10275.0,143738386.0,344.0,9930.0,49164.631538461545
107,Rockbridge County Public Schools,2.4,3.6,11409.0,31861440.0,652.0,10757.0,45722.166666666664
108,Rockingham County Public Schools,3.3,2.1,10914.0,129456666.0,484.0,10430.0,46878.48
109,Russell County Public Schools,7.5,2.4,10135.0,38106834.0,876.0,9259.0,40288.275833333326
110,Salem City Public Schools,1.6,7.9,10388.0,40905457.0,351.0,10037.0,53873.52333333334
111,Scott County Public Schools,4.4,7.2,9994.0,35122876.0,753.0,9242.0,43645.07692307692
112,Shenandoah County Public Schools,4.7,3.3,11071.0,66062582.0,556.0,10515.0,48099.333333333336
113,Smyth County Public Schools,4.6,8.8,9932.0,42838670.0,710.0,9222.0,43960.82230769231
114,Southampton County Public Schools,4.1,18.9,10221.0,29061255.0,535.0,9686.0,46156.666666666664
115,Spotsylvania County Public Schools,7.2,6.2,10875.0,255536798.0,393.0,10482.0,52823.83896551724
116,Stafford County Public Schools,8.7,11.7,9946.0,291827369.0,375.0,9572.0,54621.5
117,Staunton City Public Schools,5.4,3.9,10819.0,29234953.0,284.0,10536.0,45800.666666666664
118,Suffolk City Public Schools,2.1,1.9,10278.0,146428199.0,555.0,9724.0,51554.953888888886
119,Surry County Public Schools,1.1,5.4,20055.0,15078069.0,921.0,19134.0,52535.0
120,Sussex County Public Schools,4.6,4.6,16514.0,17495537.0,1348.0,15165.0,49325.666666666664
121,Tazewell County Public Schools,4.8,5.0,8953.0,49839989.0,556.0,8396.0,43034.23066666667
122,Virginia Beach City Public Schools,4.7,0.9,11327.0,773545649.0,653.0,10674.0,55037.45134146341
123,Virginia School for the Deaf and Blind-Staunton,16.1,28.6,,,,,
124,Warren County Public Schools,5.2,1.1,10529.0,55608212.0,504.0,10025.0,47371.25
125,Washington County Public Schools,2.1,1.8,10323.0,72915453.0,562.0,9762.0,45530.066666666666
126,Waynesboro City Public Schools,7.0,1.7,11143.0,33114961.0,677.0,10467.0,46420.0
127,West Point Public Schools,1.4,14.3,12205.0,9951864.0,308.0,11897.0,53161.0
128,Westmoreland County Public Schools,2.1,6.3,13074.0,21226339.0,852.0,12222.0,47279.0
129,Williamsburg-James City County Public Schools,1.0,0.3,11943.0,138236090.0,344.0,11599.0,51418.51199999999
130,Winchester City Public Schools,3.1,5.3,12873.0,55850515.0,762.0,12110.0,50305.44833333333
131,Wise County Public Schools,5.7,0.0,9032.0,51142060.0,324.0,8708.0,45818.432499999995
132,Wythe County Public Schools,4.4,4.7,10247.0,41352273.0,457.0,9790.0,45628.916666666664
133,York County Public Schools,0.6,2.8,10111.0,130415681.0,997.0,9114.0,51287.95105263158
