"Participation of Eligible Students"
3/17/2022

Year,Division,Level,Percent
"2018 - 2019","Suffolk City Public Schools",DIV,74.4
"2018 - 2019","Surry County Public Schools",DIV,69.7
"2018 - 2019","Sussex County Public Schools",DIV,84.7
"2018 - 2019","Tazewell County Public Schools",DIV,69.5
"2018 - 2019","Virginia Beach City Public Schools",DIV,71.4
"2018 - 2019","Warren County Public Schools",DIV,71.4
"2018 - 2019","Washington County Public Schools",DIV,69.9
"2018 - 2019","Waynesboro City Public Schools",DIV,71.2
"2018 - 2019","West Point Public Schools",DIV,72.8
"2018 - 2019","Westmoreland County Public Schools",DIV,65.1
"2018 - 2019","Williamsburg-James City County Public Schools",DIV,65.9
"2018 - 2019","Winchester City Public Schools",DIV,75.7
"2018 - 2019","Wise County Public Schools",DIV,69.9
"2018 - 2019","Wythe County Public Schools",DIV,71.4
"2018 - 2019","York County Public Schools",DIV,52.9
"2019 - 2020","Accomack County Public Schools",DIV,64.9
"2019 - 2020","Albemarle County Public Schools",DIV,70.3
"2019 - 2020","Alexandria City Public Schools",DIV,76.5
"2019 - 2020","Alleghany County Public Schools",DIV,63
"2019 - 2020","Amelia County Public Schools",DIV,61.9
"2019 - 2020","Amherst County Public Schools",DIV,73.4
"2019 - 2020","Appomattox County Public Schools",DIV,64
"2019 - 2020","Arlington County Public Schools",DIV,74.1
"2019 - 2020","Augusta County Public Schools",DIV,71.8
"2019 - 2020","Bath County Public Schools",DIV,78.4
"2019 - 2020","Bedford County Public Schools",DIV,66.1
"2019 - 2020","Bland County Public Schools",DIV,55.4
"2019 - 2020","Botetourt County Public Schools",DIV,67.4
"2019 - 2020","Bristol City Public Schools",DIV,74.5
"2019 - 2020","Brunswick County Public Schools",DIV,74
"2019 - 2020","Buchanan County Public Schools",DIV,77.1
"2019 - 2020","Buckingham County Public Schools",DIV,66.1
"2019 - 2020","Buena Vista City Public Schools",DIV,56.6
"2019 - 2020","Campbell County Public Schools",DIV,69.4
"2019 - 2020","Caroline County Public Schools",DIV,70.7
"2019 - 2020","Carroll County Public Schools",DIV,78.1
"2019 - 2020","Charles City County Public Schools",DIV,67
"2019 - 2020","Charlotte County Public Schools",DIV,64.1
"2019 - 2020","Charlottesville City Public Schools",DIV,64.2
"2019 - 2020","Chesapeake City Public Schools",DIV,58.4
"2019 - 2020","Chesterfield County Public Schools",DIV,67.1
"2019 - 2020","Clarke County Public Schools",DIV,63.9
"2019 - 2020","Colonial Beach Public Schools",DIV,65.3
"2019 - 2020","Colonial Heights City Public Schools",DIV,69.1
"2019 - 2020","Covington City Public Schools",DIV,55.9
"2019 - 2020","Craig County Public Schools",DIV,78.8
"2019 - 2020","Culpeper County Public Schools",DIV,71.7
"2019 - 2020","Cumberland County Public Schools",DIV,75.9
"2019 - 2020","Danville City Public Schools",DIV,81.3
"2019 - 2020","Dickenson County Public Schools",DIV,77.9
"2019 - 2020","Dinwiddie County Public Schools",DIV,59.9
"2019 - 2020","Essex County Public Schools",DIV,69.1
"2019 - 2020","Fairfax County Public Schools",DIV,72.8
"2019 - 2020","Falls Church City Public Schools",DIV,79.8
"2019 - 2020","Fauquier County Public Schools",DIV,71.3
"2019 - 2020","Floyd County Public Schools",DIV,71.5
"2019 - 2020","Fluvanna County Public Schools",DIV,65.9
"2019 - 2020","Franklin City Public Schools",DIV,67.9
"2019 - 2020","Franklin County Public Schools",DIV,72.2
"2019 - 2020","Frederick County Public Schools",DIV,69
"2019 - 2020","Fredericksburg City Public Schools",DIV,79.5
"2019 - 2020","Galax City Public Schools",DIV,68.6
"2019 - 2020","Giles County Public Schools",DIV,68.9
"2019 - 2020","Gloucester County Public Schools",DIV,72.2
"2019 - 2020","Goochland County Public Schools",DIV,66.1
"2019 - 2020","Grayson County Public Schools",DIV,77.1
"2019 - 2020","Greene County Public Schools",DIV,59.4
"2019 - 2020","Greensville County Public Schools",DIV,74.7
"2019 - 2020","Halifax County Public Schools",DIV,70.2
"2019 - 2020","Hampton City Public Schools",DIV,77.5
"2019 - 2020","Hanover County Public Schools",DIV,64.3
"2019 - 2020","Harrisonburg City Public Schools",DIV,78.2
"2019 - 2020","Henrico County Public Schools",DIV,74.7
"2019 - 2020","Henry County Public Schools",DIV,77.7
