"Teacher Educational Attainment"
3/17/2022

Year,Level,Division,"Year Percent",Type
"2020 - 2021",DIV,"Pulaski County Public Schools",0,"Doctoral Degree"
"2020 - 2021",DIV,"Radford City Public Schools",1,"Doctoral Degree"
"2020 - 2021",DIV,"Radford City Public Schools",40,"Bachelor's Degree"
"2020 - 2021",DIV,"Radford City Public Schools",55,"Master's Degree"
"2020 - 2021",DIV,"Rappahannock County Public Schools",45,"Bachelor's Degree"
"2020 - 2021",DIV,"Rappahannock County Public Schools",52,"Master's Degree"
"2020 - 2021",DIV,"Rappahannock County Public Schools",0,"Doctoral Degree"
"2020 - 2021",DIV,"Richmond City Public Schools",2,"Doctoral Degree"
"2020 - 2021",DIV,"Richmond City Public Schools",41,"Bachelor's Degree"
"2020 - 2021",DIV,"Richmond City Public Schools",56,"Master's Degree"
"2020 - 2021",DIV,"Richmond County Public Schools",52,"Bachelor's Degree"
"2020 - 2021",DIV,"Richmond County Public Schools",45,"Master's Degree"
"2020 - 2021",DIV,"Richmond County Public Schools",0,"Doctoral Degree"
"2020 - 2021",DIV,"Roanoke City Public Schools",1,"Doctoral Degree"
"2020 - 2021",DIV,"Roanoke City Public Schools",47,"Bachelor's Degree"
"2020 - 2021",DIV,"Roanoke City Public Schools",48,"Master's Degree"
"2020 - 2021",DIV,"Roanoke County Public Schools",43,"Bachelor's Degree"
"2020 - 2021",DIV,"Roanoke County Public Schools",54,"Master's Degree"
"2020 - 2021",DIV,"Roanoke County Public Schools",1,"Doctoral Degree"
"2020 - 2021",DIV,"Rockbridge County Public Schools",42,"Bachelor's Degree"
"2020 - 2021",DIV,"Rockbridge County Public Schools",53,"Master's Degree"
"2020 - 2021",DIV,"Rockbridge County Public Schools",2,"Doctoral Degree"
"2020 - 2021",DIV,"Rockingham County Public Schools",48,"Bachelor's Degree"
"2020 - 2021",DIV,"Rockingham County Public Schools",51,"Master's Degree"
"2020 - 2021",DIV,"Rockingham County Public Schools",0,"Doctoral Degree"
"2020 - 2021",DIV,"Russell County Public Schools",62,"Bachelor's Degree"
"2020 - 2021",DIV,"Russell County Public Schools",33,"Master's Degree"
"2020 - 2021",DIV,"Russell County Public Schools",0,"Doctoral Degree"
"2020 - 2021",DIV,"Salem City Public Schools",61,"Master's Degree"
"2020 - 2021",DIV,"Salem City Public Schools",1,"Doctoral Degree"
"2020 - 2021",DIV,"Salem City Public Schools",36,"Bachelor's Degree"
"2020 - 2021",DIV,"Scott County Public Schools",56,"Bachelor's Degree"
"2020 - 2021",DIV,"Scott County Public Schools",37,"Master's Degree"
"2020 - 2021",DIV,"Scott County Public Schools",1,"Doctoral Degree"
"2020 - 2021",DIV,"Shenandoah County Public Schools",45,"Bachelor's Degree"
"2020 - 2021",DIV,"Shenandoah County Public Schools",52,"Master's Degree"
"2020 - 2021",DIV,"Shenandoah County Public Schools",1,"Doctoral Degree"
"2020 - 2021",DIV,"Smyth County Public Schools",1,"Doctoral Degree"
"2020 - 2021",DIV,"Smyth County Public Schools",56,"Bachelor's Degree"
"2020 - 2021",DIV,"Smyth County Public Schools",39,"Master's Degree"
"2020 - 2021",DIV,"Southampton County Public Schools",2,"Doctoral Degree"
"2020 - 2021",DIV,"Southampton County Public Schools",56,"Bachelor's Degree"
"2020 - 2021",DIV,"Southampton County Public Schools",35,"Master's Degree"
"2020 - 2021",DIV,"Spotsylvania County Public Schools",1,"Doctoral Degree"
"2020 - 2021",DIV,"Spotsylvania County Public Schools",43,"Bachelor's Degree"
"2020 - 2021",DIV,"Spotsylvania County Public Schools",54,"Master's Degree"
"2020 - 2021",DIV,"Stafford County Public Schools",1,"Doctoral Degree"
"2020 - 2021",DIV,"Stafford County Public Schools",42,"Bachelor's Degree"
"2020 - 2021",DIV,"Stafford County Public Schools",52,"Master's Degree"
"2020 - 2021",DIV,"Staunton City Public Schools",0,"Doctoral Degree"
"2020 - 2021",DIV,"Staunton City Public Schools",48,"Bachelor's Degree"
"2020 - 2021",DIV,"Staunton City Public Schools",50,"Master's Degree"
"2020 - 2021",DIV,"Suffolk City Public Schools",1,"Doctoral Degree"
"2020 - 2021",DIV,"Suffolk City Public Schools",45,"Bachelor's Degree"
"2020 - 2021",DIV,"Suffolk City Public Schools",50,"Master's Degree"
"2020 - 2021",DIV,"Surry County Public Schools",1,"Doctoral Degree"
"2020 - 2021",DIV,"Surry County Public Schools",38,"Bachelor's Degree"
"2020 - 2021",DIV,"Surry County Public Schools",59,"Master's Degree"
"2020 - 2021",DIV,"Sussex County Public Schools",2,"Doctoral Degree"
"2020 - 2021",DIV,"Sussex County Public Schools",39,"Bachelor's Degree"
"2020 - 2021",DIV,"Sussex County Public Schools",54,"Master's Degree"
"2020 - 2021",DIV,"Tazewell County Public Schools",1,"Doctoral Degree"
"2020 - 2021",DIV,"Tazewell County Public Schools",60,"Bachelor's Degree"
"2020 - 2021",DIV,"Tazewell County Public Schools",35,"Master's Degree"
"2020 - 2021",DIV,"Virginia Beach City Public Schools",2,"Doctoral Degree"
"2020 - 2021",DIV,"Virginia Beach City Public Schools",44,"Bachelor's Degree"
"2020 - 2021",DIV,"Virginia Beach City Public Schools",52,"Master's Degree"
"2020 - 2021",DIV,"Warren County Public Schools",1,"Doctoral Degree"
"2020 - 2021",DIV,"Warren County Public Schools",57,"Bachelor's Degree"
"2020 - 2021",DIV,"Warren County Public Schools",41,"Master's Degree"
"2020 - 2021",DIV,"Washington County Public Schools",42,"Master's Degree"
"2020 - 2021",DIV,"Washington County Public Schools",2,"Doctoral Degree"
"2020 - 2021",DIV,"Washington County Public Schools",51,"Bachelor's Degree"
"2020 - 2021",DIV,"Waynesboro City Public Schools",0,"Doctoral Degree"
"2020 - 2021",DIV,"Waynesboro City Public Schools",47,"Bachelor's Degree"
"2020 - 2021",DIV,"Waynesboro City Public Schools",52,"Master's Degree"
"2020 - 2021",DIV,"West Point Public Schools",42,"Bachelor's Degree"
"2020 - 2021",DIV,"West Point Public Schools",57,"Master's Degree"
"2020 - 2021",DIV,"West Point Public Schools",0,"Doctoral Degree"
"2020 - 2021",DIV,"Westmoreland County Public Schools",45,"Master's Degree"
"2020 - 2021",DIV,"Westmoreland County Public Schools",0,"Doctoral Degree"
"2020 - 2021",DIV,"Westmoreland County Public Schools",51,"Bachelor's Degree"
"2020 - 2021",DIV,"Williamsburg-James City County Public Schools",69,"Master's Degree"
"2020 - 2021",DIV,"Williamsburg-James City County Public Schools",3,"Doctoral Degree"
"2020 - 2021",DIV,"Williamsburg-James City County Public Schools",25,"Bachelor's Degree"
"2020 - 2021",DIV,"Winchester City Public Schools",62,"Master's Degree"
"2020 - 2021",DIV,"Winchester City Public Schools",3,"Doctoral Degree"
"2020 - 2021",DIV,"Winchester City Public Schools",32,"Bachelor's Degree"
"2020 - 2021",DIV,"Wise County Public Schools",34,"Master's Degree"
"2020 - 2021",DIV,"Wise County Public Schools",1,"Doctoral Degree"
"2020 - 2021",DIV,"Wise County Public Schools",60,"Bachelor's Degree"
"2020 - 2021",DIV,"Wythe County Public Schools",34,"Master's Degree"
"2020 - 2021",DIV,"Wythe County Public Schools",0,"Doctoral Degree"
"2020 - 2021",DIV,"Wythe County Public Schools",62,"Bachelor's Degree"
"2020 - 2021",DIV,"York County Public Schools",59,"Master's Degree"
"2020 - 2021",DIV,"York County Public Schools",2,"Doctoral Degree"
"2020 - 2021",DIV,"York County Public Schools",36,"Bachelor's Degree"
