"Teacher Educational Attainment"
3/17/2022

Year,Level,Division,"Year Percent",Type
"2018 - 2019",DIV,"Isle of Wight County Public Schools",42,"Bachelor's Degree"
"2018 - 2019",DIV,"Isle of Wight County Public Schools",51,"Master's Degree"
"2018 - 2019",DIV,"King George County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"King George County Public Schools",46,"Bachelor's Degree"
"2018 - 2019",DIV,"King George County Public Schools",51,"Master's Degree"
"2018 - 2019",DIV,"King William County Public Schools",0,"Doctoral Degree"
"2018 - 2019",DIV,"King William County Public Schools",49,"Bachelor's Degree"
"2018 - 2019",DIV,"King William County Public Schools",48,"Master's Degree"
"2018 - 2019",DIV,"King and Queen County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"King and Queen County Public Schools",53,"Bachelor's Degree"
"2018 - 2019",DIV,"King and Queen County Public Schools",44,"Master's Degree"
"2018 - 2019",DIV,"Lancaster County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Lancaster County Public Schools",47,"Bachelor's Degree"
"2018 - 2019",DIV,"Lancaster County Public Schools",49,"Master's Degree"
"2018 - 2019",DIV,"Lee County Public Schools",0,"Doctoral Degree"
"2018 - 2019",DIV,"Lee County Public Schools",54,"Bachelor's Degree"
"2018 - 2019",DIV,"Lee County Public Schools",39,"Master's Degree"
"2018 - 2019",DIV,"Lexington City Public Schools",39,"Bachelor's Degree"
"2018 - 2019",DIV,"Lexington City Public Schools",54,"Master's Degree"
"2018 - 2019",DIV,"Lexington City Public Schools",0,"Doctoral Degree"
"2018 - 2019",DIV,"Loudoun County Public Schools",70,"Master's Degree"
"2018 - 2019",DIV,"Loudoun County Public Schools",3,"Doctoral Degree"
"2018 - 2019",DIV,"Loudoun County Public Schools",25,"Bachelor's Degree"
"2018 - 2019",DIV,"Louisa County Public Schools",43,"Master's Degree"
"2018 - 2019",DIV,"Louisa County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Louisa County Public Schools",50,"Bachelor's Degree"
"2018 - 2019",DIV,"Lunenburg County Public Schools",37,"Master's Degree"
"2018 - 2019",DIV,"Lunenburg County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Lunenburg County Public Schools",58,"Bachelor's Degree"
"2018 - 2019",DIV,"Lynchburg City Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Lynchburg City Public Schools",48,"Bachelor's Degree"
"2018 - 2019",DIV,"Lynchburg City Public Schools",48,"Master's Degree"
"2018 - 2019",DIV,"Madison County Public Schools",45,"Master's Degree"
"2018 - 2019",DIV,"Madison County Public Schools",2,"Doctoral Degree"
"2018 - 2019",DIV,"Madison County Public Schools",50,"Bachelor's Degree"
"2018 - 2019",DIV,"Manassas City Public Schools",30,"Bachelor's Degree"
"2018 - 2019",DIV,"Manassas City Public Schools",65,"Master's Degree"
"2018 - 2019",DIV,"Manassas City Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Manassas Park City Public Schools",41,"Bachelor's Degree"
