School Name,State Name [Public School] Latest available year,School Name [Public School] 2018-19,School ID - NCES Assigned [Public School] Latest available year,County Name [Public School] 2018-19,Locale [Public School] 2018-19,National School Lunch Program [Public School] 2018-19,Pupil/Teacher Ratio [Public School] 2018-19
IRVING MIDDLE,Virginia,IRVING MIDDLE,510126000504,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,14.65
ISLAND CREEK ELEM,Virginia,ISLAND CREEK ELEM,510126002334,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,14.57
JACKSON MIDDLE,Virginia,JACKSON MIDDLE,510126000530,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,11.72
JUSTICE HIGH,Virginia,JUSTICE HIGH,510126000505,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,14.94
KEENE MILL ELEM,Virginia,KEENE MILL ELEM,510126000508,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,16.16
KENT GARDENS ELEM,Virginia,KENT GARDENS ELEM,510126000509,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,17.92
KEY CENTER,Virginia,KEY CENTER,510126000510,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,7.70
KEY MIDDLE,Virginia,KEY MIDDLE,510126000511,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,11.37
KILMER CENTER,Virginia,KILMER CENTER,510126000512,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,4.62
KILMER MIDDLE,Virginia,KILMER MIDDLE,510126000513,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,14.36
KINGS GLEN ELEM,Virginia,KINGS GLEN ELEM,510126001840,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,14.34
KINGS PARK ELEM,Virginia,KINGS PARK ELEM,510126000514,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,14.89
LAKE ANNE ELEM,Virginia,LAKE ANNE ELEM,510126000515,Fairfax County,13-City: Small,Yes participating without using any Provision or the CEO,12.47
LAKE BRADDOCK SECONDARY,Virginia,LAKE BRADDOCK SECONDARY,510126000516,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,15.97
LANE ELEM,Virginia,LANE ELEM,510126001091,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,14.77
LANGLEY HIGH,Virginia,LANGLEY HIGH,510126000517,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,16.90
LAUREL HILL ELEM,Virginia,LAUREL HILL ELEM,510126002802,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,15.08
LAUREL RIDGE ELEM,Virginia,LAUREL RIDGE ELEM,510126000519,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,14.04
LEES CORNER ELEM,Virginia,LEES CORNER ELEM,510126002063,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,15.62
LEMON ROAD ELEM,Virginia,LEMON ROAD ELEM,510126000522,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,14.65
LEWIS HIGH,Virginia,LEE HIGH,510126000521,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,12.99
LIBERTY MIDDLE,Virginia,LIBERTY MIDDLE,510126002271,Fairfax County,41-Rural: Fringe,Yes participating without using any Provision or the CEO,12.44
LITTLE RUN ELEM,Virginia,LITTLE RUN ELEM,510126000525,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,11.53
LONDON TOWNE ELEM,Virginia,LONDON TOWNE ELEM,510126000526,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,14.01
LONGFELLOW MIDDLE,Virginia,LONGFELLOW MIDDLE,510126000527,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,15.43
LORTON STATION ELEM,Virginia,LORTON STATION ELEM,510126002335,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,14.21
LOUISE ARCHER ELEM,Virginia,LOUISE ARCHER ELEM,510126000529,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,15.74
LYNBROOK ELEM,Virginia,LYNBROOK ELEM,510126000531,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,11.41
MADISON HIGH,Virginia,MADISON HIGH,510126000532,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,14.92
MANTUA ELEM,Virginia,MANTUA ELEM,510126000533,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,16.89
