ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): VIRGINIA

Agency Name,State Name [District] Latest available year,State Name [District] 2018-19,County Number [District] 2018-19,County Name [District] 2018-19,Total Number Operational Schools [Public School] 2018-19,Total Number Operational Charter Schools [Public School] 2018-19,Agency Type [District] 2018-19,School District Level Code (SCHLEV) [District Finance] 2018-19,Locale [District] 2018-19,Prekindergarten offered [District] 2018-19,Kindergarten offered [District] 2018-19,Agency Level (SY 2017-18 onward) [District] 2018-19,Total Students All Grades (Excludes AE) [District] 2018-19,Individualized Education Program Students [District] 2018-19,Limited English Proficient (LEP) / English Language Learners (ELL) [District] 2018-19,Full-Time Equivalent (FTE) Teachers [District] 2018-19,Pupil/Teacher Ratio [District] 2018-19,Total Current Expenditures - Instruction (TCURINST) per Pupil (V33) [District Finance] 2018-19,Total Current Expenditures - Support Services (TCURSSVC) per Pupil (V33) [District Finance] 2018-19,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2018-19,Long Term Debt - Outstanding Beginning of FY (_19H) [District Finance] 2018-19,Short Term Debt - Outstanding Beginning of FY (_61V) [District Finance] 2018-19
COMMONWEALTH CTR FOR CHILDREN & ADOLESCENTS,Virginia,VIRGINIA,51790,Staunton city,1,="0",5-State agency providing elementary and/or secondary level instruction,†,41-Rural: Fringe,1-Yes,1-Yes,Other,="0",10,–,="0.00",†,†,†,†,†,†
COMMONWEALTH GOVERNOR'S SCHOOL,Virginia,VIRGINIA,51177,Spotsylvania County,1,="0",9-Specialized public school district,†,41-Rural: Fringe,2-No,2-No,Ungraded,="0",†,†,†,–,†,†,†,–,–
COOP CTRS FOR EXCEPTIONAL CHILDREN,Virginia,VIRGINIA,51640,Galax city,1,="0",9-Specialized public school district,="07-Educational service agency",33-Town: Remote,2-No,2-No,Ungraded,="0",†,†,†,–,†,†,†,–,–
COVINGTON CITY PBLC SCHS,Virginia,VIRGINIA,51580,Covington city,3,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",32-Town: Distant,1-Yes,1-Yes,Other,1070,204,3,69.20,15.46,6531,3373,10958,="0",="0"
CRAIG CO PBLC SCHS,Virginia,VIRGINIA,51045,Craig County,2,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",42-Rural: Distant,1-Yes,1-Yes,Other,602,155,–,42.83,14.06,6631,4523,12224,="0",="0"
CROSSROADS ALTERNATIVE/BRISTOL CITY,Virginia,VIRGINIA,51520,Bristol city,1,="0",9-Specialized public school district,†,13-City: Small,2-No,2-No,Ungraded,="0",†,†,†,–,†,†,†,–,–
CULPEPER CO PBLC SCHS,Virginia,VIRGINIA,51047,Culpeper County,11,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",32-Town: Distant,1-Yes,1-Yes,Other,8235,939,715,556.92,14.79,6860,3392,11676,64659000,="0"
CUMBERLAND CO PBLC SCHS,Virginia,VIRGINIA,51049,Cumberland County,4,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",43-Rural: Remote,1-Yes,1-Yes,Other,1366,160,22,94.66,14.43,7157,4058,12322,="0",="0"
DANVILLE CITY PBLC SCHS,Virginia,VIRGINIA,51590,Danville city,14,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",32-Town: Distant,1-Yes,1-Yes,Other,5686,818,224,419.50,13.55,7489,5046,14290,16315000,="0"
DEPARTMENT OF JUVENILE JUSTICE,Virginia,VIRGINIA,51760,Richmond city,1,="0",5-State agency providing elementary and/or secondary level instruction,="02-Secondary school system only",12-City: Mid-size,2-No,2-No,High,110,80,7,33.00,3.33,†,="0",†,†,†
DICKENSON CO PBLC SCHS,Virginia,VIRGINIA,51051,Dickenson County,5,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",43-Rural: Remote,1-Yes,1-Yes,Other,2054,360,4,139.83,14.69,6392,4761,12283,="0",="0"
DINWIDDIE CO PBLC SCHS,Virginia,VIRGINIA,51053,Dinwiddie County,7,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",42-Rural: Distant,1-Yes,1-Yes,Other,4379,660,64,266.80,16.41,6283,4463,11902,34781000,="0"
DOE SOP EDUC PROGRAMS,Virginia,VIRGINIA,51760,Richmond city,23,="0",5-State agency providing elementary and/or secondary level instruction,†,21-Suburb: Large,2-No,2-No,Ungraded,="0",162,†,†,–,†,†,†,†,†
EASTERN ST HOSP,Virginia,VIRGINIA,51095,James City County,1,="0",5-State agency providing elementary and/or secondary level instruction,†,23-Suburb: Small,1-Yes,1-Yes,Other,="0",3,–,="0.00",†,†,†,†,†,†
ENTERPRISE ACADEMY/NEWPORT NEWS CITY,Virginia,VIRGINIA,51700,Newport News city,1,="0",9-Specialized public school district,†,12-City: Mid-size,2-No,2-No,Ungraded,="0",†,†,†,–,†,†,†,–,–
ESSEX CO PBLC SCHS,Virginia,VIRGINIA,51057,Essex County,3,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",32-Town: Distant,1-Yes,1-Yes,Other,1322,197,30,113.01,11.70,8069,4793,14365,23289000,="0"
