ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): VIRGINIA

Agency Name,State Name [District] Latest available year,State Name [District] 2018-19,County Number [District] 2018-19,County Name [District] 2018-19,Total Number Operational Schools [Public School] 2018-19,Total Number Operational Charter Schools [Public School] 2018-19,Agency Type [District] 2018-19,School District Level Code (SCHLEV) [District Finance] 2018-19,Locale [District] 2018-19,Prekindergarten offered [District] 2018-19,Kindergarten offered [District] 2018-19,Agency Level (SY 2017-18 onward) [District] 2018-19,Total Students All Grades (Excludes AE) [District] 2018-19,Individualized Education Program Students [District] 2018-19,Limited English Proficient (LEP) / English Language Learners (ELL) [District] 2018-19,Full-Time Equivalent (FTE) Teachers [District] 2018-19,Pupil/Teacher Ratio [District] 2018-19,Total Current Expenditures - Instruction (TCURINST) per Pupil (V33) [District Finance] 2018-19,Total Current Expenditures - Support Services (TCURSSVC) per Pupil (V33) [District Finance] 2018-19,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2018-19,Long Term Debt - Outstanding Beginning of FY (_19H) [District Finance] 2018-19,Short Term Debt - Outstanding Beginning of FY (_61V) [District Finance] 2018-19
TAZEWELL CO PBLC SCHS,Virginia,VIRGINIA,51185,Tazewell County,14,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",32-Town: Distant,1-Yes,1-Yes,Other,5653,946,12,367.52,15.38,5685,3205,9744,9306000,1610000
THE GOVERNOR'S SCHOOL @ INNOVATION PARK,Virginia,VIRGINIA,51153,Prince William County,1,="0",9-Specialized public school district,†,21-Suburb: Large,2-No,2-No,Ungraded,="0",†,†,†,–,†,†,†,–,–
THE REGIONAL COMMUNITY ALTERNATIVE ED CONTINUUM,Virginia,VIRGINIA,51061,Fauquier County,1,="0",9-Specialized public school district,†,42-Rural: Distant,2-No,2-No,Ungraded,="0",†,†,†,–,†,†,†,–,–
THREE RIVERS PILOT PROJECT/YORK CO,Virginia,VIRGINIA,51199,York County,="0",="0",4-Regional Education Service Agency (RESA),†,21-Suburb: Large,2-No,2-No,Ungraded,="0",†,†,†,–,†,†,†,†,†
TIDEWATER REGIONAL ALTERNATIVE ED PROJECT,Virginia,VIRGINIA,51710,Norfolk city,1,="0",9-Specialized public school district,†,12-City: Mid-size,2-No,2-No,Ungraded,="0",†,†,†,–,†,†,†,–,–
TRANSITION SUPPORT RESOURCE CTR/FAIRFAX,Virginia,VIRGINIA,51059,Fairfax County,1,="0",9-Specialized public school district,†,21-Suburb: Large,2-No,2-No,Ungraded,="0",†,†,†,–,†,†,†,–,–
UNIVERSITY OF VA,Virginia,VIRGINIA,51003,Albemarle County,1,="0",5-State agency providing elementary and/or secondary level instruction,†,23-Suburb: Small,1-Yes,1-Yes,Other,="0",3,–,="0.00",†,†,†,†,†,†
VA BEACH CITY PBLC SCHS,Virginia,VIRGINIA,51810,Virginia Beach city,87,1,1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",11-City: Large,1-Yes,1-Yes,Other,68624,8109,1263,4317.58,15.89,6938,4521,13330,="0",="0"
VA DEPT OF MILITARY AFFAIRS,Virginia,VIRGINIA,51810,Virginia Beach city,="0",="0",5-State agency providing elementary and/or secondary level instruction,†,11-City: Large,2-No,2-No,Not Applicable,–,†,†,†,–,†,†,†,†,†
VALLEY VOCATIONAL TECH,Virginia,VIRGINIA,51015,Augusta County,1,="0",9-Specialized public school district,="07-Educational service agency",41-Rural: Fringe,2-No,2-No,Ungraded,="0",†,†,†,–,†,†,†,–,–
VSDB-STAUNTON,Virginia,VIRGINIA,51790,Staunton city,3,="0",5-State agency providing elementary and/or secondary level instruction,="03-Elementary/secondary school system",13-City: Small,1-Yes,1-Yes,Other,81,80,3,28.00,2.89,†,="0",†,†,†
WARREN CO PBLC SCHS,Virginia,VIRGINIA,51187,Warren County,9,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",31-Town: Fringe,1-Yes,1-Yes,Other,5298,697,135,367.21,14.43,6423,4111,11654,8206000,="0"
WASHINGTON CO PBLC SCHS,Virginia,VIRGINIA,51191,Washington County,16,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",41-Rural: Fringe,1-Yes,1-Yes,Other,7090,1191,51,499.14,14.20,6717,3782,11370,="0",="0"
WAYNESBORO CITY PBLC SCHS,Virginia,VIRGINIA,51820,Waynesboro city,7,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",13-City: Small,1-Yes,1-Yes,Other,3032,351,125,207.84,14.59,7421,4072,13243,37832000,="0"
WEST POINT PBLC SCHS,Virginia,VIRGINIA,51101,King William County,3,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",31-Town: Fringe,1-Yes,1-Yes,Other,813,89,4,64.00,12.70,7700,4736,13411,659000,="0"
WESTERN ST HOSP,Virginia,VIRGINIA,51790,Staunton city,1,="0",5-State agency providing elementary and/or secondary level instruction,†,41-Rural: Fringe,1-Yes,1-Yes,Other,="0",3,–,="0.00",†,†,†,†,†,†
WESTMORELAND CO PBLC SCHS,Virginia,VIRGINIA,51193,Westmoreland County,4,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",42-Rural: Distant,1-Yes,1-Yes,Other,1651,257,79,134.06,12.32,8026,4769,14657,1220000,="0"
WILLIAMSBURG-JAMES CITY PBLC SCHS,Virginia,VIRGINIA,51830,Williamsburg city,16,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",23-Suburb: Small,1-Yes,1-Yes,Other,11666,1878,538,738.18,15.80,7619,4481,14034,="0",="0"
WILSON WORKFORCE AND REHAB,Virginia,VIRGINIA,51015,Augusta County,1,="0",5-State agency providing elementary and/or secondary level instruction,†,23-Suburb: Small,1-Yes,1-Yes,Other,="0",–,–,="0.00",†,†,†,†,†,†
WINCHESTER CITY PBLC SCHS,Virginia,VIRGINIA,51840,Winchester city,7,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",13-City: Small,1-Yes,1-Yes,Other,4357,618,823,339.88,12.82,8255,5003,14733,="0",="0"
WISE CO PBLC SCHS,Virginia,VIRGINIA,51195,Wise County,13,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",32-Town: Distant,1-Yes,1-Yes,Other,5755,909,13,390.73,14.73,6029,2937,10537,55108000,="0"
WYTHE CO PBLC SCHS,Virginia,VIRGINIA,51197,Wythe County,13,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",42-Rural: Distant,1-Yes,1-Yes,Other,4076,585,4,274.46,14.85,6584,3691,13214,22324000,="0"
YORK CO PBLC SCHS,Virginia,VIRGINIA,51199,York County,19,1,1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",21-Suburb: Large,1-Yes,1-Yes,Other,12750,1499,375,843.63,15.11,6667,3828,12397,66025000,="0"


Data Source: U.S. Department of Education National Center for Education Statistics Common Core of Data (CCD) "Local Education Agency (School District) Universe Survey" 2018-19 v.1a  2020-21 v.1a; "Local Education Agency (School District) Universe Survey Geographic Data (EDGE)" 2018-19 v.1a; "School District Finance Survey (F-33)" 2018-19 (FY 2019) v.1a.

† indicates that the data are not applicable.
– indicates that the data are missing.
‡ indicates that the data do not meet NCES data quality standards.
